"과자, 쿠키, 버터",512,1.8,6.37,24.52,66.47,16.45,1.4,226,0.04,6032,25.86,0.18
"과자, 크랙커",513,4,7,27.8,58.8,-,-,634,0,-,-,-
"과자, 크랙커, 땅콩샌드",524,0.9,7.66,26.24,64.23,14.64,2.1,195,0.08,6921,0,0.53
"과자, 크랙커, 치즈샌드",497,1.7,6.08,22.23,68.24,14.69,1.9,539,0.08,5580,0,0.55
"과자, 크랙커, 채소",506,0.4,7.38,22.62,68.26,12.12,1.8,394,0,6597,0,0.38
"과자, 피칸파이",360,30.9,8,17.2,43.2,-,-,90,0,-,-,-
"과자, 뻥튀기, 원반 모양, 팽화",383,4.9,11.06,1.07,82.29,1.74,2,112,0,11120,0,0.01
"과자, 마카로니 과자, 튀긴것",457,1.6,11.5,13.96,71.28,1.34,5.1,497,0,11363,0,0.39
"국수, 생것",291,30.5,7.25,0.87,60.09,7.39,1.8,395,1.02,6944,0,0
"국수, 소면, 말린것",370,10,10.36,1.27,74.86,1.93,2,1274,0.34,9689,0,0
"국수, 소면, 말린것, 삶은것",126,70.4,3.55,0.48,25.31,0,1.5,68,0.08,3323,0,0
"국수, 우동, 생것",164,61.9,3.33,1.25,33.09,0,1.9,142,0,3168,0,0.01
"국수, 우동, 생것, 삶은것",139,67.2,2.95,0.46,29.12,0,1.6,78,0,2804,0,0
"국수, 중국국수, 생면",281,33,8.6,1.2,55.7,1,2.1,410,0,9640,0,-
"국수, 중국국수, 생면, 삶은것",149,65,4.9,0.6,29.2,0.1,1.3,70,0,5218,0,-
"국수, 중국국수, 말린것",356,10,10.3,5.2,67.1,-0.9,2.3,2700,0,-,2,-
"국수, 중국국수, 말린것, 삶은것",148,65,5.2,0.6,28.6,-0.1,1.5,200,0,-5292,0,-
"국수, 중국국수, 증숙, 생것",198,54,5.3,1.7,38.4,-0.7,1.9,170,0,5336,0,-
"국수, 중면, 말린것",366,10.7,10.4,1.21,73.94,3.21,2.4,1284,0.38,9851,0,0
"국수, 중면, 말린것, 삶은것",120,71.7,3.55,0.4,24.04,0,2,88,0.04,3233,0,0
"국수, 쫄면, 말린것",348,14.2,9.16,1.08,71.29,4.5,1.7,1697,0,8661,0,0
"국수, 칼국수, 생것",303,27.8,7.25,0.87,63.02,0,1.7,327,0.25,6918,0,0
"국수, 칼국수, 생것, 삶은것",140,66.9,3.49,0.43,28.98,0,2.5,47,0.06,3332,0,0
"국수, 칼국수, 반건조",281,30.8,6.4,1.4,57.5,-,-,1768,0,-,-,-
"라면, 말린것",445,6.4,8.23,14.28,69.05,0,3.8,437,0.71,7515,0,0.12
"라면, 말린것, 삶은것",175,62,3.61,4.17,29.65,0,3.9,104,0,3333,0,0.03
"빵, 건포도빵",269,35.7,8.2,3.5,51.1,-,2.2,400,(Tr),-7697,(Tr),-
"빵, 곰보빵",415,13.2,9.5,14.54,61.44,17.01,4.1,307,0,8439,28.75,0.11
"빵, 꽈배기",404,23.2,7.9,20.4,47.2,-,2.1,431,0,-,-,-
"빵, 팥 도우넛",347,31.5,6.6,15.3,45.7,-,-,188,0,-,-,-
"빵, 링 도우넛",426,24.9,7.3,26,40.6,-,-,360,0,-,-,-
"빵, 하드 롤빵",293,31,9.9,4.3,52.7,1.77,2.3,544,0,9920,0,-
"빵, 소프트 롤빵",316,30.7,10.1,9,48.6,6.4,2,490,0,9700,(Tr),-
"빵, 마늘빵",424,13.8,9.8,17.2,57.5,-,3,558,0,-,-,-
"빵, 우유 머핀",296,37.7,6.9,11.4,41.4,-,2.7,467,0.3,6857,39,-
"빵, 잉글리쉬 머핀",235,42.1,7.7,1.8,46,-,2.7,464,0.1,7735,0,-
"빵, 모닝빵",316,26,9.06,4.91,58.99,11.33,2.1,260,0,8994,8.77,0.03
"빵, 모카빵",354,19.7,8.31,7.53,63.29,15.43,1.4,316,0,7769,33.99,0.08
"빵, 바게트빵",279,30,9.4,1.3,57.5,1.8,2.7,620,0,9770,0,-
"빵, 달걀 베이글",278,32.7,10.6,2.1,53,-,2.3,505,0.6,10658,24,-
"빵, 식빵",279,34.8,9.01,4.91,49.68,4.12,3.7,516,0,8606,0,0.15
"빵, 식빵, 베타카로틴 첨가",266,36.2,9.35,3.5,49.37,4.15,3.7,456,0,8467,0,0.01
"빵, 식빵, 옥수수",270,35.1,9.44,3.42,50.45,5.32,3.7,524,0,7723,0,0.05
"빵, 우유 식빵",285,34.6,9.1,6,48.7,-,-,434,0,-,-,-
"빵, 옥수수빵",321,30.5,7.4,10.2,49.1,-,2.4,795,0.1,7307,62,-
"빵, 잼빵",297,32,6.6,5.8,54.5,-35.4,1.8,310,3,-6282,0,-
"빵, 찐빵, 팥",213,47.5,5.96,1.29,44.36,10.42,5.1,158,0,5294,0,0.01
"빵, 채소 찐빵",231,47.4,8.1,5.5,37.3,-,-,409,0,-,-,-
"빵, 단호박 찐빵",239,39.7,5.4,0.9,52.4,-,-,280,14,-,-,-
"빵, 카스텔라",299,29.4,6.91,3.72,59.46,24.85,4.7,81,0,6287,138.68,0.02
"빵, 크로와상",448,20,7.9,26.8,43.9,-,1.8,470,0,-7595,(Tr),-
"빵, 버터 크로와상",406,23.2,8.2,21,45.8,11.26,2.6,467,0.2,8302,67,-
"빵, 크로켓",307,44.7,6,18.2,29.7,-,-,346,0,-,-,-
"빵, 채소 크로켓",301,43.9,7.1,16.4,31.2,-,1.1,403,5,-,-,-
"빵, 크림빵",275,40.1,6,7.7,45.5,-,-,160,0,-,-,-
"빵, 버터 크림빵",383,26.1,8.2,18.4,46.2,-,2.6,319,0,-,-,-
"빵, 팥빵",253,39.8,7.57,3.17,48.51,16.37,6.3,180,0,6719,19.01,0.13
"빵, 페이스트리",457,17.4,8.6,26.3,46.5,-,3,423,0,-,-,-
"빵, 치즈 페이스트리",374,31.4,8,21.9,37.2,6.95,1,417,0.1,7982,23,-
"빵, 과일 페이스트리",371,27.1,5.4,18.5,47.8,27.53,1.9,445,3.9,5374,114,-
"빵, 붕어빵, 팥",254,43.5,4.81,6.44,44.12,11.98,6.2,276,0,4810,0,0.03
"빵, 소시지빵",323,38,10.59,16.52,33,5.05,4.8,571,0,9317,35.41,0.16
"빵, 난",262,37.2,10.3,3.4,47.6,-2.7,2,530,0,-9840,0,-
"케이크, 과일(후르츠)",324,25.3,2.9,9.1,61.6,27.42,3.7,101,0.5,2909,5,-
"케이크, 롤케이크",369,32.3,7.51,20.22,39.24,17.41,6.3,162,0,7142,131.05,0.3
"케이크, 배 케이크",296,38.4,6.2,10.8,43.5,-,-,277,0,-,-,-
"케이크, 생크림 블루베리",280,53.2,3.03,18.88,24.39,22.87,0.8,67,2.36,3011,68.1,0.56
"케이크, 쇼튼드 케이크",327,35,7.1,13.8,43.6,-24.8,0.6,79,0,-7311,140,-
"케이크, 스펀지 케이크",352,30.2,6.6,15.2,47.2,-,-,172,0,-,-,-
"케이크, 엔젤푸드 케이크",258,33.2,5.9,0.8,57.8,-,1.5,749,0,5931,0,-
"케이크, 초콜릿 케이크",417,22.2,5.23,22.09,49.31,38.19,0.7,146,0,3891,44.44,0.35
"케이크, 치즈 케이크",331,42.9,5.87,21.32,28.82,17.61,0.7,240,0,5702,156.65,0.77
"케이크, 파운드 케이크",408,23,5.66,20.71,49.65,17.43,0.9,207,0,5114,89.32,0.68
"케이크, 팬케이크",227,52.9,6.4,9.7,28.3,-,-,439,0.3,6409,59,-
"파스타, 마카로니, 말린것",380,9.5,12.2,0.4,77.1,-,-,2,0,-,-,-
"파스타, 마카로니, 말린것, 삶은것",126,70,3.8,0.2,25.8,-,-,5,0,-,-,-
"파스타, 스파게티, 말린것",365,9.6,11.78,1.28,76.64,1.39,2.7,2,0,11370,0,0
"파스타, 스파게티, 말린것, 삶은것",129,69.1,3.8,0,26.9,-,-,7,0,-,-,-
"보리, 두산8호, 도정, 생것",352,10,10,1,78,-,-,18,0,-,-,-
"보리, 서둔찰보리, 도정, 생것",354,9.5,9.7,1.1,78.5,-,-,13,-,-,-,-
"보리, 쌀보리, 도정, 생것",342,13.5,9.3,1.81,74.39,0.5,12.8,4,0,8911,0,0
"보리, 겉보리, 압맥",343,13.4,8.74,1.66,75.38,0.32,11,9,0,8178,0,0
"보리, 겉보리, 할맥",354,10.5,9.3,1.67,77.71,1.93,17,11,0,8594,0,0
"보리, 볶은것",360,8.2,12.7,2.6,74.1,-,-,-,-,-,-,-
"보리, 가루",357,9.5,11.16,1.83,76.48,0.3,12.8,20,0,10654,0,0
"보리, 껍질 포함, 가루",364,8.2,10.95,2.99,76.09,0,22.1,17,0,9793,0,0
"보리, 미숫가루",398,2,14.52,5.48,76.17,1.06,12.8,6,0,13175,0,0.01
"보리, 엿기름, 말린것",358,8.8,14.65,2.71,71.68,10.24,20.4,10,0,12873,0,0
"보리, 찰보리, 도정, 생것",346,12.6,11.87,2.15,72.29,0.5,13.6,5,0.47,11121,0,0
"보리, 늘보리, 도정, 생것",346,12.4,9.79,1.77,75.08,0.5,20.8,6,0,9129,0,0
"보리, 찰보리, 할맥",362,7.7,8.5,1,82,-,-,7,0,-,-,-
"수수, 통수수, 생것",360,8.7,10.5,3.1,76.5,-,-,4,0,-,-,-
"수수, 도정, 생것",338,14.2,9.85,2.96,71.5,0.25,10.3,2,0,7539,0,0
"수수, 찰수수, 도정, 생것",353,8.8,9.7,1.2,79.2,-,-,14,0,-,-,-
"수수떡, 수수경단",218,46.2,8.2,1.4,43.1,-,-,238,0,-,-,-
"시리얼, 옥수수, 아몬드",426,3.7,7.3,9.29,78.18,34.79,4.4,379,107.16,7196,0,0.01
"시리얼, 옥수수",378,5,5.11,0.59,88.05,39.55,2.5,434,201.26,4873,0,0
"시리얼, 현미",394,2.8,6.8,2.79,85.33,17.24,3.3,551,155.27,5898,0,0.01
"시리얼, 옥수수, 그래놀라, 코코넛 ",434,2.6,5.56,9.75,80.93,29.49,4.7,279,179.55,4911,0,0.01
